B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.9984751515151515	18.690009999999997	1.0283775301521371e8	1.0892561849407983e8	1.0214476256501193e8	1.0862685393574378e8	7.126796331944188e7	9.428914979447784e7	7.272770597499806e7	9.46928257618267e7	8.42607254610393e7	8.45346842402915e7
0.9984751515151515	18.900009999999998	1.0386412731805718e8	1.1001603904455173e8	1.0315760914828737e8	1.0971139809497851e8	7.193778725184226e7	9.521595810204788e7	7.342523397650449e7	9.562671916640297e7	8.507550887996526e7	8.535519067657532e7
0.9984751515151515	19.11001	1.0488923445871648e8	1.111051457126249e8	1.0416914080156477e8	1.1079460712059033e8	7.260640094398428e7	9.614148445939548e7	7.4121633581875e7	9.65593510537083e7	8.588903738678217e7	8.617446272717012e7
0.9984751515151515	19.32001	1.0591308990138975e8	1.1219295449432021e8	1.051793736543171e8	1.118764973016318e8	7.327381984655367e7	9.706574469854891e7	7.481691898704365e7	9.749073696325554e7	8.670132667337872e7	8.69925157838773e7
0.9984751515151515	19.530009999999997	1.0693570875560337e8	1.1327948101924829e8	1.061883234650925e8	1.1295708455362082e8	7.39400590473185e7	9.798875428615116e7	7.551110405709781e7	9.842089207640928e7	8.75123920671089e7	8.780936488146672e7
0.9984751515151515	19.740009999999998	1.0795710578806925e8	1.143647405628492e8	1.0719600563394032e8	1.1403638443102935e8	7.460513328346135e7	9.891052833572865e7	7.620420233745964e7	9.934983122840214e7	8.83222485430861e7	8.862502470970744e7
0.9984751515151515	19.95001	1.0897729543402706e8	1.1544874805809976e8	1.0820243521429051e8	1.151144121392246e8	7.526905695336534e7	9.983108161942188e7	7.689622706457622e7	1.0027756891982116e8	8.91309107359374e7	8.943950962486711e7
0.9984751515151515	20.16001	1.0999629180809146e8	1.1653151810671367e8	1.0920762692432123e8	1.1619118254589492e8	7.593184412788576e7	1.0075042857920755e8	7.758719117614484e7	1.0120411932759947e8	8.993839295104548e7	9.025283366071244e7
0.9984751515151515	20.37001	1.1101410871464045e8	1.1761306498986153e8	1.1021159515783723e8	1.1726671019198816e8	7.659350856113112e7	1.0166858333763802e8	7.827710732089384e7	1.0212949631553319e8	9.074470917530632e7	9.106501053903648e7
0.9984751515151515	20.580009999999998	1.1203075965775938e8	1.1869340267843944e8	1.1121435399468693e8	1.1834100930218424e8	7.725406370078364e7	1.025855597081248e8	7.896598786794867e7	1.0305371344435443e8	9.15498730874282e7	9.187605367973621e7
0.9984751515151515	20.79001	1.1304625785076961e8	1.1977254484290531e8	1.1221591721074364e8	1.1941409379492831e8	7.791352269798048e7	1.0350137120478922e8	7.965384491580068e7	1.0397678398137933e8	9.235389806779487e7	9.268597621046545e7
0.998980101010101	0.00001	6390.585700132151	8436.259069867476	8537.85140512132	10309.714187550213	7903.310912851936	9883.355810416755	12854.813976986283	6813.015527436027	6961.154653029228	11499.406577174008
0.998980101010101	0.21001	2.0508779816673386e6	2.2381544727240494e6	2.1904282909968696e6	2.3041657449624455e6	1.843112738229895e6	2.0514402825156376e6	1.6354172164458463e6	1.9574211163623831e6	1.7420494461744975e6	1.8730716577678672e6
0.998980101010101	0.42001	3.1975042832292756e6	3.43739053850476e6	3.333682695825127e6	3.4991252007639734e6	2.766707547938023e6	3.127382114133077e6	2.5072813748281207e6	3.0740341991767637e6	2.9310365055536055e6	2.861960962368473e6
0.998980101010101	0.63001	4.196191399854414e6	4.47450479050744e6	4.317667582016283e6	4.531594030385754e6	3.51470246589373e6	4.0536747584971213e6	3.2702906461201278e6	4.006288788174656e6	3.7832040519990316e6	3.7211910826413743e6
0.998980101010101	0.8400099999999999	5.171160778694954e6	5.501799556239331e6	5.286310385305722e6	5.554564226183576e6	4.217702296474491e6	4.955292187289916e6	3.9886202050914206e6	4.910899079759969e6	4.599205014845564e6	4.539524892465723e6
0.998980101010101	1.05001	6.10458500072053e6	6.483470505521629e6	6.21061864577959e6	6.530546684104827e6	4.879995291680242e6	5.815455035491576e6	4.669753253113857e6	5.774876520418152e6	5.375182034761641e6	5.319105057001248e6
0.998980101010101	1.26001	7.069531946614268e6	7.4966544961998295e6	7.169150528907198e6	7.539452786026198e6	5.5682275838172e6	6.710062463041413e6	5.367870018398173e6	6.671416454199586e6	6.183539887688377e6	6.129978740620189e6
0.998980101010101	1.47001	8.003454857609117e6	8.475864416434254e6	8.0941161599363135e6	8.513147020035354e6	6.225316722492707e6	7.572995070707753e6	6.03894249142951e6	7.537188487169298e6	6.961135647672376e6	6.911277719266722e6
0.998980101010101	1.68001	8.932041528108472e6	9.44819965727118e6	9.015437256340114e6	9.481657452304963e6	6.892738109343296e6	8.434268242389468e6	6.717869929250311e6	8.401358279361105e6	7.742006441731326e6	7.6953837477759905e6
0.998980101010101	1.89001	9.865834958024789e6	1.0424802737348478e7	9.945105328932755e6	1.0457117322959835e7	7.5855315333604915e6	9.305772102496566e6	7.417736849497799e6	9.275529120307585e6	8.539188660563653e6	8.494800904731968e6
0.998980101010101	2.10001	1.078356795168407e7	1.1383639204208277e7	1.0857669487767175e7	1.1414433029493568e7	8.264057989898926e6	1.0161395667770147e7	8.105352115178265e6	1.0134302293454617e7	9.321603031280696e6	9.280023805156782e6
0.998980101010101	2.31001	1.168708884253889e7	1.2326768871173706e7	1.1755115728867956e7	1.2355714508252662e7	8.930000916651e6	1.1002980457821293e7	8.78212894077737e6	1.0979455332016185e7	1.0090965910961375e7	1.0052692782626126e7
0.998980101010101	2.52001	1.257923600318676e7	1.3257532745278172e7	1.2640597234821377e7	1.328439579010304e7	9.586055549385766e6	1.1833392087220782e7	9.450200076304134e6	1.1813698822675567e7	1.0849878037651407e7	1.0815222252603875e7
0.998980101010101	2.73001	1.3494512694873985e7	1.4218775615223609e7	1.3553745620069578e7	1.4244655550922802e7	1.0266379448798668e7	1.2687943633691797e7	1.0135024851638235e7	1.2669747274057578e7	1.1629526398981333e7	1.1595658887791168e7
0.998980101010101	2.94001	1.440119485186178e7	1.5170774128802493e7	1.4457896320630085e7	1.5195492192213278e7	1.0939232647175502e7	1.3534056600861525e7	1.0813240052136391e7	1.3517530287594492e7	1.240122823201662e7	1.2368351152810138e7
0.998980101010101	3.15001	1.5299969785462316e7	1.6114269445146421e7	1.5353772625630436e7	1.6137662861053273e7	1.1605223237391496e7	1.437240949533088e7	1.1485375799158633e7	1.4357710821810063e7	1.316562474228274e7	1.313392207122021e7
0.998980101010101	3.36001	1.6191427721284825e7	1.7049897895195697e7	1.6241995385036023e7	1.7071817494832367e7	1.2264872632991217e7	1.5203584715317663e7	1.2151887219902458e7	1.519085804704952e7	1.3923266145575771e7	1.3892906392848331e7
0.998980101010101	3.57001	1.7076080726743843e7	1.797821143618534e7	1.7123103015817083e7	1.7998519755903725e7	1.2918632568497367e7	1.602808732194915e7	1.2813169082456822e7	1.6017465648438066e7	1.467462946079928e7	1.4645767838004662e7
0.998980101010101	3.78001	1.7954377050597657e7	1.8899693144897617e7	1.7997566652434934e7	1.8918262885773137e7	1.3566897960666118e7	1.6846359254318368e7	1.3469566880785989e7	1.6837965688986514e7	1.5420131980249882e7	1.5392912155558601e7
0.998980101010101	3.99001	1.8826712180279125e7	1.981476916237357e7	1.8865801824994914e7	1.9831481926085018e7	1.4210016812769055e7	1.7658790286403317e7	1.4121385380587975e7	1.7652739297181007e7	1.616014164972418e7	1.6134697187656805e7
0.998980101010101	4.20001	1.9693437501802962e7	2.0723818047141712e7	1.9728177602057733e7	2.0738563286718857e7	1.4848297961802792e7	1.8465726605081327e7	1.4768895310893377e7	1.8462125035580426e7	1.689498519293634e7	1.687144074894882e7
0.998980101010101	4.41001	2.0554867176109165e7	2.1627178200844962e7	2.0585023847948916e7	2.1639852340904407e7	1.548201722289274e7	1.926747761901115e7	1.5412338676461989e7	1.9266425544546735e7	1.762495455884253e7	1.760342688057615e7
0.998980101010101	4.62001	2.141128366671826e7	2.2525153836501997e7	2.1436637054773968e7	2.253565952887159e7	1.6111422323084662e7	2.0064321430207703e7	1.6051933027456416e7	2.0065912881923176e7	1.8350312101521533e7	1.8330910875668827e7
0.998980101010101	4.83001	2.226294223256258e7	2.3418019828729246e7	2.2283285081176296e7	2.3426265317455728e7	1.6736736907263413e7	2.085650927986385e7	1.668787492919622e7	2.08608328623167e7	1.907129478810117e7	1.9054123362585317e7
0.998980101010101	5.04001	2.3110074616324544e7	2.4306025694906197e7	2.3125211041430745e7	2.4311924270543512e7	1.73581638234694e7	2.1644269196982563e7	1.7320342810143474e7	2.165140861878718e7	1.9788117651461065e7	1.9773273655875105e7
0.998980101010101	5.25001	2.39528920998742e7	2.5189398892742977e7	2.3962636526290968e7	2.519286842019411e7	1.7975887841869038e7	2.2427809020041373e7	1.794949932081804e7	2.243784355289814e7	2.050097664908978e7	2.048855253134475e7
0.998980101010101	5.46001	2.479158805639272e7	2.6068347574288387e7	2.479576429255907e7	2.6069310081759926e7	1.859007792376044e7	2.3207318920203444e7	1.857549330383853e7	2.3220323798438057e7	2.1210051049909744e7	2.120013454328393e7
0.998980101010101	5.6700099999999996	2.5626340098266736e7	2.694306290344396e7	2.5624780526079316e7	2.6941444222570993e7	1.9200889129521623e7	2.3982973524312407e7	1.9198461451691974e7	2.3999020294611726e7	2.1915505442167465e7	2.190817997409653e7
