B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.9914999999999999	12.91	1.1337929134724739e9	1.1931124475770178e9	1.1907443000648677e9	1.1907443000648677e9	8.35401316540442e8	1.0579128984359738e9	8.454344508164644e8	1.0595818061971728e9	9.643746775000002e8	9.670454986307298e8
0.9914999999999999	13.059999999999999	1.1453469926115873e9	1.205211363494749e9	1.202784729793602e9	1.202784729793602e9	8.437303826365349e8	1.0686303584907087e9	8.540166035915748e8	1.0703452133558351e9	9.741168456078008e8	9.768532086279081e8
0.9914999999999999	13.209999999999999	1.1568848525092313e9	1.2172927006525319e9	1.2148073231460874e9	1.2148073231460874e9	8.520459515332692e8	1.0793321429107246e9	8.625863760993152e8	1.0810931676111407e9	9.838444897477702e8	9.866466813258321e8
0.9914999999999999	13.36	1.1684066997257135e9	1.2293566837742376e9	1.2268123086384377e9	1.2268123086384377e9	8.603481980000112e8	1.0900184522402287e9	8.711439264808179e8	1.091825866248614e9	9.93557796133194e8	9.964260987138404e8
0.9914999999999999	13.51	1.1799127359024265e9	1.2414035322216218e9	1.2387999093278701e9	1.2387999093278701e9	8.686372926076617e8	1.1006894822363813e9	8.796894091054125e8	1.1025435018496413e9	1.0032569465273055e9	1.006191638439066e9
0.9914999999999999	13.66	1.1914031579322922e9	1.2534334601803591e9	1.250770343002251e9	1.250770343002251e9	8.769134018749769e8	1.11134542403542e9	8.882229747014318e8	1.1132462624546187e9	1.0129421183978456e9	1.015943473957075e9
0.9914999999999999	13.809999999999999	1.2028781581224544e9	1.2654466768376155e9	1.2627238223610232e9	1.2627238223610232e9	8.851766884082522e8	1.121986464311235e9	8.967447704811192e8	1.1239343317186587e9	1.0226134850645934e9	1.0256817746756743e9
0.9914999999999999	13.959999999999999	1.2143379243497097e9	1.2774433865517292e9	1.274660555188055e9	1.274660555188055e9	8.934273110347092e8	1.1326127854268773e9	9.05254940259909e8	1.1346078890603752e9	1.032271215840292e9	1.035406706092293e9
0.9914999999999999	14.11	1.2257826402090602e9	1.2894237890143154e9	1.2865807445168028e9	1.2865807445168028e9	9.016654249299695e8	1.143224565579327e9	9.137536245704659e8	1.1452671098040519e9	1.0419154761653326e9	1.0451184299252641e9
0.9914999999999999	14.26	1.2372124851557422e9	1.3013880794052906e9	1.2984845887882185e9	1.2984845887882185e9	9.098911817399024e8	1.153821978937917e9	9.22240960771673e8	1.155912165315576e9	1.0515464277365003e9	1.0548171042393519e9
0.9914999999999999	14.409999999999998	1.2486276346411374e9	1.3133364485411747e9	1.3103722820018508e9	1.3103722820018508e9	9.181047296971856e8	1.16440519577675e9	9.30717083152953e8	1.1665432231324918e9	1.0611642286301758e9	1.0645028835658499e9
0.9914999999999999	14.559999999999999	1.2600282602428071e9	1.325269083017008e9	1.3222440138603828e9	1.3222440138603828e9	9.263062137328249e8	1.1749743826014476e9	9.391821230340488e8	1.1771604470884693e9	1.0707690334202032e9	1.0741759190174873e9
0.9914999999999999	14.709999999999999	1.2714145297890358e9	1.3371861653422554e9	1.3340999699081008e9	1.3340999699081008e9	9.344957755829467e8	1.1855297022704735e9	9.476362088606203e8	1.1877639974324744e9	1.0803609932907596e9	1.0838363583984976e9
0.9914999999999999	14.86	1.2827866074781375e9	1.3490878740709915e9	1.3459403316634793e9	1.3459403316634793e9	9.426735538910513e8	1.1960713141113954e9	9.560794662957836e8	1.198354030942935e9	1.089940256144484e9	1.0934843463100178e9
0.992	0.01	8.781305928974714e6	1.0656952481557386e7	1.2088270936884258e7	1.2088270936884258e7	8.664178511409825e6	9.726150999633597e6	7.406236247488367e6	8.715699869177494e6	8.690074878128072e6	8.681245205907447e6
0.992	0.16	3.606757359552313e7	3.9910371198260315e7	4.1516316375377305e7	4.1516316375377305e7	3.3431552353825703e7	3.656432220240286e7	2.901621229564938e7	3.524678938326706e7	3.437373369553372e7	3.3317913861090798e7
0.992	0.31	5.428002800947183e7	5.9240965481196426e7	6.082361185994294e7	6.082361185994294e7	4.79205493911801e7	5.366094865161598e7	4.279448755528234e7	5.2407224015306145e7	5.03045869055287e7	4.8992746580783874e7
0.992	0.45999999999999996	7.050567090216117e7	7.632995685257621e7	7.780956327615675e7	7.780956327615675e7	6.014281091504492e7	6.875861074403603e7	5.4872290329798505e7	6.755838174100605e7	6.414416478386193e7	6.279336380615094e7
0.992	0.61	8.571012854303285e7	9.227159179646762e7	9.363012706968445e7	9.363012706968445e7	7.12420297189612e7	8.282597167112239e7	6.6093694343647525e7	8.169100769327618e7	7.694348623672266e7	7.564128053683876e7
0.992	0.76	1.0071419943164375e8	1.0802994237521183e8	1.0930477731281617e8	1.0930477731281617e8	8.216263632014199e7	9.674501168727592e7	7.71862132264156e7	9.565750196103357e7	8.9589556449588e7	8.834189105447069e7
0.992	0.9099999999999999	1.1510177747445875e8	1.2310786460323556e8	1.2427932123369452e8	1.2427932123369452e8	9.249304391836707e7	1.1004397384480962e8	8.778119408366625e7	1.0902171415569726e8	1.0164218842112647e8	1.0047343021219756e8
0.992	1.06	1.292658494605583e8	1.3796021718358138e8	1.3904036164737764e8	1.3904036164737764e8	1.0267372076588327e8	1.2314961789935946e8	9.82177035347585e7	1.221864853231658e8	1.135224549270371e8	1.1242888524704994e8
0.992	1.21	1.435487130445993e8	1.529800312792278e8	1.5400696827799952e8	1.5400696827799952e8	1.1305721269541442e8	1.364282658916706e8	1.087860076322554e8	1.354994226685142e8	1.2558422481775334e8	1.2454355289686407e8
0.992	1.3599999999999999	1.5746672816824207e8	1.6759609046158844e8	1.68556089419357e8	1.68556089419357e8	1.2309529637642787e8	1.4933851865786594e8	1.1905915402707532e8	1.4845542455431294e8	1.372956907774205e8	1.36321406039424e8
0.992	1.51	1.7106816380023488e8	1.8186226629136613e8	1.8274378538943046e8	1.8274378538943046e8	1.3283591871274155e8	1.6192979769545972e8	1.2907678524815975e8	1.611020944209412e8	1.4870423118924326e8	1.4780764620974207e8
0.992	1.66	1.8479426853996533e8	1.9629105253206825e8	1.9711537184128526e8	1.9711537184128526e8	1.427896244610465e8	1.7468656112299928e8	1.392293364953642e8	1.7389629862643045e8	1.602858504562719e8	1.5944524295239854e8
0.992	1.8099999999999998	1.9870679669650632e8	2.1095176683721486e8	2.1174292930687973e8	2.1174292930687973e8	1.530165111049546e8	1.8767279484940094e8	1.495681459133662e8	1.8689968161566886e8	1.721016666301867e8	1.712926592726596e8
0.992	1.96	2.1243478047988337e8	2.254102959835451e8	2.261625710895948e8	2.261625710895948e8	1.630747502143611e8	2.0047595272322944e8	1.5976044852643815e8	1.997247428990041e8	1.837444264868233e8	1.8297267670793697e8
0.992	2.11	2.2599454856106216e8	2.3968462416813642e8	2.4039286934325433e8	2.4039286934325433e8	1.7297974783279932e8	2.131123691342566e8	1.698193254590925e8	2.123873317533811e8	1.9522965488008597e8	1.9450023566511995e8
0.992	2.26	2.3939992886308193e8	2.5378997374001867e8	2.544495378096519e8	2.544495378096519e8	1.827445108836693e8	2.2559586598724288e8	1.7975584499299923e8	2.249008644490967e8	2.0657048190134063e8	2.058879781022778e8
0.992	2.4099999999999997	2.5266277206075278e8	2.6773938440699893e8	2.6834603214926732e8	2.6834603214926732e8	1.923801549823705e8	2.379382801693253e8	1.895794852461215e8	2.3727683435692808e8	2.1777814658040506e8	2.1714673011449975e8
0.992	2.5599999999999996	2.6598908034932137e8	2.8176289677314746e8	2.823275455320336e8	2.823275455320336e8	2.0212314745009753e8	2.5035828963994923e8	1.9947415022263432e8	2.497219815206824e8	2.2907140791676366e8	2.284818529190348e8
0.992	2.7099999999999995	2.7962301991611e8	2.961329408913317e8	2.96684362296455e8	2.96684362296455e8	2.1225287066174126e8	2.6311491188731527e8	2.0965781922428873e8	2.6248126502273563e8	2.407093178044414e8	2.401366855251922e8
0.992	2.86	2.931650551262123e8	3.104027244310743e8	3.109390469072582e8	3.109390469072582e8	2.223036900578441e8	2.757819792823054e8	2.1977092370463392e8	2.751526222823196e8	2.5226393573868376e8	2.5171030239897165e8
0.992	3.01	3.0662058261483705e8	3.2457815657134575e8	3.2509763174980175e8	3.2509763174980175e8	2.3228031526507685e8	2.8836477360037655e8	2.2981761949138004e8	2.877412285414997e8	2.637401846328231e8	2.6320748960252437e8
0.992	3.1599999999999997	3.1999442930543286e8	3.3866452147626257e8	3.391655104566137e8	3.391655104566137e8	2.4218695449701717e8	3.00868017767334e8	2.3980162301995412e8	3.002517120366801e8	2.751424659446507e8	2.746325270107971e8
0.992	3.3099999999999996	3.332909367304371e8	3.5266657091866416e8	3.5314753263647085e8	3.5314753263647085e8	2.5202738918519628e8	3.132959586968403e8	2.4972627643212223e8	3.12688235024225e8	2.8647473702784884e8	2.859892633220499e8
0.992	3.4599999999999995	3.46514029615519e8	3.665885996013563e8	3.670480808982004e8	3.670480808982004e8	2.6180503462376025e8	3.2565243465100557e8	2.5959460051634312e8	3.250545596754673e8	2.977405740236146e8	2.972811770566988e8
0.992	3.6099999999999994	3.5966727221956587e8	3.8043450701864207e8	3.808711341029769e8	3.808711341029769e8	2.7152298974184036e8	3.379409305617221e8	2.6940933818962264e8	3.3735410220048845e8	3.089432235056174e8	3.085114266561964e8
0.992	3.76	3.727539150346275e8	3.942078487229686e8	3.9462031977760184e8	3.9462031977760184e8	2.8118407832369417e8	3.501646238756018e8	2.791729905337693e8	3.495899777054534e8	3.2008564527345085e8	3.1968289200188726e8
0.992	3.9099999999999997	3.857769338142046e8	4.079118791617092e8	4.082989579045987e8	4.082989579045987e8	2.907908834287177e8	3.6232642285922915e8	2.888878469072827e8	3.617650376765129e8	3.311705481043619e8	3.307982091070859e8
0.992	4.06	3.9873906243622357e8	4.215495877404988e8	4.2191009778429997e8	4.2191009778429997e8	3.0034577635098654e8	3.7442899884644574e8	2.9855601029681236e8	3.7388190153875345e8	3.4220041984773034e8	3.418597993237559e8
0.992	4.21	4.116428207664782e8	4.3512372939489985e8	4.354565492805039e8	4.354565492805039e8	3.0985094115432656e8	3.8647481357420415e8	3.081794188088826e8	3.859429834110585e8	3.5317755293345344e8	3.52869894101799e8
0.992	4.359999999999999	4.244905384341784e8	4.486368506725269e8	4.489409094750571e8	4.489409094750571e8	3.193083955923934e8	3.9846614250336355e8	3.177598640061104e8	3.9795051493331915e8	3.641040661315928e8	3.6383055611249185e8
0.992	4.51	4.372843752393858e8	4.620913121167151e8	4.6236558554069364e8	4.6236558554069364e8	3.2872000905244046e8	4.1040509483200485e8	3.2729900664384925e8	4.099065648578788e8	3.749819232242388e8	3.747436973767261e8
0.992	4.659999999999999	4.500263387655969e8	4.754893075817324e8	4.757328144765967e8	4.757328144765967e8	3.380875180310646e8	4.222936307647376e8	3.3679839025000226e8	4.2181305595622647e8	3.85812949115851e8	3.856110949082202e8
0.992	4.81	4.627182996578852e8	4.888328809853882e8	4.890446802241206e8	4.890446802241206e8	3.4741253954990166e8	4.34133576490431e8	3.4625945290352017e8	4.336717796834327e8	3.9659884380461407e8	3.9643440428138447e8
0.992	4.96	4.7536200493916297e8	5.021239409083148e8	5.0230312858127224e8	5.0230312858127224e8	3.5669658284113306e8	4.459266372344229e8	3.556835374992265e8	4.454844089583291e8	4.073411945566452e8	4.0721517145527816e8
0.992	5.109999999999999	4.879590896681808e8	5.1536427337345797e8	5.15509980257063e8	5.15509980257063e8	3.659410595715221e8	4.576744086834776e8	3.650719007333877e8	4.572525093512118e8	4.180414865615454e8	4.179548431237705e8
0.992	5.26	5.005110871883822e8	5.2855555307934165e8	5.286669423454837e8	5.286669423454837e8	3.7514729282526326e8	4.693783870281711e8	3.744257210023188e8	4.689775489183919e8	4.2870111229776347e8	4.286547758134439e8
0.992	5.409999999999999	5.130194381732478e8	5.416993533129383e8	5.417756184500282e8	5.417756184500282e8	3.8431652502738935e8	4.8103997782463455e8	3.8374610537273586e8	4.806609068811784e8	4.3932137979629844e8	4.393162439121518e8
0.992	5.56	5.254854986389107e8	5.547971547296488e8	5.548375176504766e8	5.548375176504766e8	3.934499249586193e8	4.926605038433698e8	3.9303409575566685e8	4.923038813133291e8	4.4990351995928067e8	4.4994044678005296e8
0.992	5.71	5.379105470666127e8	5.678503531569158e8	5.678540624719799e8	5.678540624719799e8	4.0254859398747885e8	5.042412120450776e8	4.0229067439393306e8	5.0390769597394526e8	4.6044869306409043e8	4.605285150699127e8
0.992	5.859999999999999	5.502957907546678e8	5.808602665528271e8	5.808265959907187e8	5.808265959907187e8	4.116135716253071e8	5.1578327980099475e8	4.115167687555475e8	5.1547350640073085e8	4.7095799456265944e8	4.710815163630328e8
0.992	6.01	5.626423715008918e8	5.938281412305167e8	5.937563881894165e8	5.937563881894165e8	4.206458404931542e8	5.272878204567743e8	4.207132559109038e8	5.270024053605703e8	4.814324602684199e8	4.816004602105536e8
0.992	6.159999999999999	5.749513707009768e8	6.067551574421767e8	6.066446416585993e8	6.066446416585993e8	4.2964633077595186e8	5.387558883238599e8	4.298809664597237e8	5.384954277395527e8	4.9187307100920254e8	4.920863026561129e8
0.992	6.31	5.872238139356171e8	6.196424344025649e8	6.194924967252686e8	6.194924967252686e8	4.386159242280542e8	5.501884831697415e8	4.390206880639004e8	5.49953554942316e8	5.0228075681275356e8	5.025399503045482e8
0.992	6.46	5.994606751085881e8	6.324910348202655e8	6.323010360787078e8	6.323010360787078e8	4.475554577849469e8	5.615865542681302e8	4.481331686342414e8	5.613777188604532e8	5.126564006817897e8	5.1296226399192756e8
0.992	6.609999999999999	6.116628801891209e8	6.453019689952109e8	6.450712889532734e8	6.450712889532734e8	4.564657268280718e8	5.729510040613792e8	4.572191192122275e8	5.727688054612111e8	5.230008420074367e8	5.2335406210428834e8
0.992	6.76	6.238313106045333e8	6.580761985328993e8	6.57804234919662e8	6.57804234919662e8	4.653474881431876e8	5.842826914802537e8	4.662792165822513e8	5.841276580405972e8	5.3331487966312015e8	5.337161235859455e8
0.992	6.909999999999999	6.359668063228512e8	6.708146397188647e8	6.705008073291957e8	6.705008073291957e8	4.742014626072105e8	5.9558243495995e8	4.753141056449597e8	5.95455080179016e8	5.435992748152306e8	5.44049190672623e8
0.992	7.06	6.480701686598372e8	6.83518166591181e8	6.83161896449699e8	6.83161896449699e8	4.8302833763378537e8	6.068510151862055e8	4.8432440157825005e8	6.067518384325225e8	5.538547534820799e8	5.543539713800212e8
0.992	7.209999999999999	6.601421628404068e8	6.961876137438371e8	6.957883523265595e8	6.957883523265595e8	4.9182876940392584e8	6.180891776008015e8	4.9331069180904037e8	6.180186647884339e8	5.640820088685584e8	5.646311417744141e8
0.992	7.359999999999999	6.721835203405783e8	7.088237788896968e8	7.083809873982662e8	7.083809873982662e8	5.0060338490468997e8	6.292976346921772e8	5.022735378159359e8	6.292562589104075e8	5.742817035004023e8	5.748813480485239e8
0.992	7.51	6.841949410328501e8	7.214274252080996e8	7.209405788920628e8	7.209405788920628e8	5.093527837959725e8	6.404770680935229e8	5.1121347678050286e8	6.404652901949621e8	5.84454471179006e8	5.851052084229848e8
0.992	7.659999999999999	6.961770951551089e8	7.339992834991769e8	7.334678710222179e8	7.334678710222179e8	5.1807754012305516e8	6.516281305080951e8	5.201310231025687e8	6.51646399658716e8	5.946009187751462e8	5.953033148912376e8
0.992	7.81	7.081306251207232e8	7.465400541642314e8	7.459635770107383e8	7.459635770107383e8	5.267782038904431e8	6.62751447479071e8	5.290266697932399e8	6.628002016733305e8	6.047216278777994e8	6.054762348235708e8
0.992	7.959999999999999	7.200561471854864e8	7.590504090293201e8	7.584283809479822e8	7.584283809479822e8	5.3545530251062685e8	6.738476190192332e8	5.379008897576199e8	6.739272855631224e8	6.148171563122895e8	6.156245124441483e8
0.992	8.11	7.319542529851512e8	7.715309930271555e8	7.708629395086282e8	7.708629395086282e8	5.44109342139926e8	6.84917221114026e8	5.467541369779166e8	6.850282170786057e8	6.248880395404062e8	6.257486701933043e8
0.992	8.26	7.43825510955869e8	7.839824257507628e8	7.832678835367333e8	7.832678835367333e8	5.527408089121162e8	6.95960807109978e8	5.555868476063349e8	6.96103539757717e8	6.34934791953687e8	6.358492099859449e8
0.992	8.41	7.556704676483631e8	7.964053028908029e8	7.956438195120468e8	7.956438195120468e8	5.613501700793607e8	7.069789089991475e8	5.643994409761631e8	7.071537761851473e8	6.449579080697857e8	6.459266143757492e8
0.992	8.559999999999999	7.67489648945586e8	8.088001975672283e8	8.079913309084272e8	8.079913309084272e8	5.6993787506898e8	7.179720386091064e8	5.731923205385331e8	7.181794291591265e8	6.549578636408027e8	6.559813476337663e8
0.992	8.709999999999999	7.792835611924647e8	8.211676615646919e8	8.203109794540747e8	8.203109794540747e8	5.785043564635845e8	7.289406887069386e8	5.819658747315061e8	7.291809827739153e8	6.649351166814859e8	6.660138567490767e8
0.992	8.86	7.91052692245533e8	8.335082264802743e8	8.326033063022127e8	8.326033063022127e8	5.870500309113928e8	7.398853340248216e8	5.907204777874736e8	7.401589034254935e8	6.748901084243616e8	6.760245723584173e8
0.992	9.01	8.027975124493622e8	8.458224047910702e8	8.448688331200266e8	8.448688331200266e8	5.955752999727696e8	7.508064322140194e8	5.994564904841967e8	7.511136407470398e8	6.848232642081467e8	6.860139096109117e8
0.992	9.16	8.145184755460263e8	8.5811069084851e8	8.571080631027846e8	8.571080631027846e8	6.040805509084787e8	7.61704424733379e8	6.081742608443134e8	7.620456284802556e8	6.947349943051325e8	6.959822689734502e8
0.992	9.309999999999999	8.262160195232522e8	8.70373561805547e8	8.69321481919488e8	8.69321481919488e8	6.125661574145097e8	7.725797376778175e8	6.168741247876306e8	7.729552852878639e8	7.046256946926725e8	7.059300369816943e8
0.992	9.459999999999999	8.37890567406244e8	8.826114784822345e8	8.815095585956228e8	8.815095585956228e8	6.210324803079358e8	7.834327825517792e8	6.255564067400807e8	7.838430155121465e8	7.144957477733617e8	7.158575869411998e8
0.992	9.61	8.495425279978299e8	8.948248861747406e8	8.936727463381928e8	8.936727463381928e8	6.294798681677634e8	7.942639569920977e8	6.342214202028869e8	7.947092098839352e8	7.243455230481081e8	7.257652795826795e8
0.992	9.76	8.611722965709934e8	9.070142154122654e8	9.05811483307613e8	9.05811483307613e8	6.379086579344094e8	8.050736454443425e8	6.428694682850904e8	8.0555424618595e8	7.341753777458562e8	7.356534636751336e8
0.992	9.91	8.727802555175856e8	9.191798826660261e8	9.179261933406641e8	9.179261933406641e8	6.463191754710454e8	8.158622197962875e8	6.515008442023582e8	8.163784898741661e8	7.439856574133698e8	7.455224766000943e8
0.992	10.059999999999999	8.843667749565742e8	9.313222910139652e8	9.30017286628306e8	9.30017286628306e8	6.54711736089796e8	8.266300399718478e8	6.60115831744646e8	8.27182294660368e8	7.537766964681735e8	7.553726448900554e8
0.992	10.209999999999999	8.959322133049484e8	9.43441830764606e8	9.420851603517791e8	9.420851603517791e8	6.630866450454714e8	8.37377454488479e8	6.687147057151356e8	8.379660030589329e8	7.635488187174834e8	7.652042847337806e8
